catch_terms,recode_column,organization_name,branch,agency,level_above,us_office_type,domains,abbreviation,country,gov_contractor,us_fed_stats,us_national_lab,source,city,state,github
us doe golden field office,us doe golden field office,US Golden Field Office,US Executive Branch,US Department of Energy,US Office of Energy Efficiency and Renewable Energy,Operations Office,,,United States,0,0,0,https://www.energy.gov/offices,,,
home energy score,home energy score,US Home Energy Score,US Executive Branch,US Department of Energy,US Office of Energy Efficiency and Renewable Energy,NA,homeenergyscore.gov,,United States,0,0,0,,,,
hydrogen and fuel cell technologies office,hydrogen and fuel cell technologies office,US Hydrogen and Fuel Cell Technologies Office,US Executive Branch,US Department of Energy,US Office of Energy Efficiency and Renewable Energy,,hydrogen.gov,,United States,0,0,0,,,,
office of energy saver,office of energy saver,US Office of Energy Saver,US Executive Branch,US Department of Energy,US Office of Energy Efficiency and Renewable Energy,NA,energysaver.gov|energysavers.gov,,United States,0,0,0,,,,
oak ridge office of environmental management,oak ridge office of environmental management,US Oak Ridge Office of Environmental Management,US Executive Branch,US Department of Energy,US Office of Environmental Management,Operations Office,,,United States,0,0,0,https://www.energy.gov/offices,,,
portsmouth paducah project office,portsmouth paducah project office,US Portsmouth/Paducah Project Office,US Executive Branch,US Department of Energy,US Office of Environmental Management,Operations Office,pppo.gov,pppo,United States,0,0,0,https://www.energy.gov/offices,,,
nuclear energy university program,nuclear energy university program,US Nuclear Energy University Program,US Executive Branch,US Department of Energy,US Office of Nuclear Energy,NA,neup.gov,neup,United States,0,0,0,,,,
office of river protection|richland operations office,office of river protection|richland operations office,US Office of River Protection,US Executive Branch,US Department of Energy,US Office of River Protection,Operations Office,hanford.gov|rl.gov,,United States,0,0,0,https://www.energy.gov/offices,,,
ames laboratory|ames lab|doe ames laboratory|the ames lab,ames laboratory|ames lab(?![a-z])|doe ames laboratory|the ames lab,Ames Laboratory,US Executive Branch,US Department of Energy,US Office of Science,Labs & Technology Centers,ameslab.gov,,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
argonne national laboratory|argonne national laboratories|argonne national lab|argonne national labs,argonne national laboratory|argonne national laboratories|argonne national lab(?![a-z])|argonne national labs,Argonne National Laboratory,US Executive Branch,US Department of Energy,US Office of Science,Labs & Technology Centers,anl.gov,anl,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
brookhaven national laboratory|brookhaven national laboratories|brookhaven national lab|brookhaven national labs,brookhaven national laboratory|brookhaven national laboratories|brookhaven national lab(?![a-z])|brookhaven national labs,Brookhaven National Laboratory,US Executive Branch,US Department of Energy,US Office of Science,Labs & Technology Centers,bnl.gov,bnl,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
fermi national accelerator laboratory|fermilab|fermi national lab|fermi national labs,fermi national accelerator laboratory|fermilab|fermi national lab(?![a-z])|fermi national labs,Fermi National Accelerator Laboratory,US Executive Branch,US Department of Energy,US Office of Science,Labs & Technology Centers,fnal.gov,fnal,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
oak ridge national laboratory|oak ridge national lab|oak ridge national labs,oak ridge national laboratory|oak ridge national lab(?![a-z])|oak ridge national labs,Oak Ridge National Laboratory,US Executive Branch,US Department of Energy,US Office of Science,Labs & Technology Centers,ornl.gov,ornl,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
pacific northwest national laboratory|pacific northwest national lab,pacific northwest national laboratory|pacific northwest national lab(?![a-z]),Pacific Northwest National Laboratory,US Executive Branch,US Department of Energy,US Office of Science,Labs & Technology Centers,pnl.gov|pnnl.gov,pnnl,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
princeton plasma physics laboratory|princeton plasma physics lab,princeton plasma physics laboratory|princeton plasma physics lab(?![a-z]),Princeton Plasma Physics Lab,US Executive Branch,US Department of Energy,US Office of Science,Labs & Technology Centers,pppl.gov,pppl,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
slac national accelerator laboratory|stanford linear accelerator center,slac national accelerator laboratory|stanford linear accelerator center,SLAC National Accelerator Laboratory,US Executive Branch,US Department of Energy,US Office of Science,Labs & Technology Centers,slac.stanford.edu,slac,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
thomas jefferson national accelerator facility|continuous electron beam accelerator facility,thomas jefferson national accelerator facility|continuous electron beam accelerator facility,Thomas Jefferson National Accelerator Facility,US Executive Branch,US Department of Energy,US Office of Science,Labs & Technology Centers,jlab.gov|cebaf.gov,jlab|cebaf,United States,0,0,1,https://www.energy.gov/science/science-innovation/office-science-national-laboratories,,,
office of scientific and technical information,office of scientific and technical information,US Office of Scientific & Technical Information,US Executive Branch,US Department of Energy,US Office of Science,NA,osti.gov,osti,United States,0,0,0,,,,
government science portal,government science portal,US Government Science Portal,US Executive Branch,US Department of Energy,US Office of Scientific and Technical Information,NA,science.gov,,United States,0,0,0,https://www.science.gov/about.html,,,
bonneville power administration,bonneville power administration,US Bonneville Power Administration,US Executive Branch,US Department of Energy,US Power Administrations,Power Marketing Administration,bpa.gov,bpa,United States,0,0,1,https://www.energy.gov/offices,,,
