academic_terms,original_string,new_string,domains,country,as_of,
fachhochschulstudiengänge der wiener wirtschaft,fachhochschulstudiengänge der wiener wirtschaft,fachhochschulstudiengänge der wiener wirtschaft,fhw.at,Austria,2021-08-24,
fachhochschulstudiengänge hagenberg,fachhochschulstudiengänge hagenberg,fachhochschulstudiengänge hagenberg,fh-hagenberg.at,Austria,2021-08-24,
fachhochschulstudiengänge krems imc,fachhochschulstudiengänge krems imc,fachhochschulstudiengänge krems imc,imc-krems.ac.at,Austria,2021-08-24,
fachhochschulstudiengänge steyr,fachhochschulstudiengänge steyr,fachhochschulstudiengänge steyr,fh-steyr.at,Austria,2021-08-24,
fachhochschulstudiengänge wels,fachhochschulstudiengänge wels,fachhochschulstudiengänge wels,fh-wels.at,Austria,2021-08-24,
institute of science and technology austria,institute of science and technology austria,institute of science and technology austria,ist.ac.at,Austria,2021-08-24,
johannes kepler universität|johannes kepler university,johannes kepler universität|johannes kepler university,johannes kepler universität,jku.at,Austria,2021-08-24,
katholisch theologische privatuniversität linz,katholisch theologische privatuniversität linz,katholisch-theologische privatuniversität linz,kth-linz.ac.at,Austria,2021-08-24,
management center innsbruck,management center innsbruck,management center innsbruck,mci.edu,Austria,2021-08-24,
medizinische universität graz,medizinische universität graz,medizinische universität graz,meduni-graz.at,Austria,2021-08-24,
medizinische universität innsbruck,medizinische universität innsbruck,medizinische universität innsbruck,i-med.ac.at,Austria,2021-08-24,
medizinische universität wien,medizinische universität wien,medizinische universität wien,meduniwien.at,Austria,2021-08-24,
montanuniversität leoben,montanuniversität leoben,montanuniversität leoben,unileoben.ac.at,Austria,2021-08-24,
private universität für medizinische informatik und technik tirol,private universität für medizinische informatik und technik tirol,private universität für medizinische informatik und technik tirol,umit.at,Austria,2021-08-24,
technikum wien,technikum wien,technikum wien,technikum-wien.at,Austria,2021-08-24,
technische universität graz|graz university of technology,technische universität graz|graz university of technology,technische universität graz,tugraz.at,Austria,2021-08-24,
technische universität wien|tu wien|technical university of vienna|vienna technical university|vienna university of technology,technische universität wien|tu wien|technical university of vienna|vienna technical university|vienna university of technology,technische universität wien,tuwien.ac.at,Austria,2021-08-24,
universität für angewandte kunst wien,universität für angewandte kunst wien,universität für angewandte kunst wien,ns2.uni-ak.ac.at,Austria,2021-08-24,
universität für bodenkultur wien,universität für bodenkultur wien,universität für bodenkultur wien,boku.ac.at,Austria,2021-08-24,
universität für künstlerische und industrielle gestaltung linz,universität für künstlerische und industrielle gestaltung linz,universität für künstlerische und industrielle gestaltung linz,khs-linz.ac.at,Austria,2021-08-24,
universität für musik und darstellende kunst graz,universität für musik und darstellende kunst graz,universität für musik und darstellende kunst graz,kug.ac.at,Austria,2021-08-24,
universität für musik und darstellende kunst wien,universität für musik und darstellende kunst wien,universität für musik und darstellende kunst wien,mdw.ac.at,Austria,2021-08-24,
universität graz|university of graz,universität graz|university of graz,universität graz,kfunigraz.ac.at,Austria,2021-08-24,
universität innsbruck|university of innsbruck,universität innsbruck|university of innsbruck,universität innsbruck,uibk.ac.at,Austria,2021-08-24,
universität klagenfurt|university of klagenfurt,universität klagenfurt|university of klagenfurt,universität klagenfurt,uni-klu.ac.at,Austria,2021-08-24,
universität mozarteum salzburg,universität mozarteum salzburg,universität mozarteum salzburg,moz.ac.at,Austria,2021-08-24,
universität salzburg|university of salzburg,universität salzburg|university of salzburg,universität salzburg,sbg.ac.at,Austria,2021-08-24,
universität vienna|university of vienna,universität vienna|university of vienna,universität vienna,univie.ac.at,Austria,2021-08-24,
veterinärmedizinische universität wien,veterinärmedizinische universität wien,veterinärmedizinische universität wien,vu-wien.ac.at,Austria,2021-08-24,
webster university vienna,webster university vienna,webster university vienna,webster.ac.at,Austria,2021-08-24,
wirtschaftsuniversität wien,wirtschaftsuniversität wien,wirtschaftsuniversität wien,wu-wien.ac.at,Austria,2021-08-24,
azerbaijan diplomatic academy,azerbaijan diplomatic academy,azerbaijan diplomatic academy,ada.edu.az,Azerbaijan,2021-08-24,
azerbaijan medical university,azerbaijan medical university,azerbaijan medical university,amu.edu.az,Azerbaijan,2021-08-24,
azerbaijan national conservatorie,azerbaijan national conservatorie,azerbaijan national conservatorie,conservatory.az,Azerbaijan,2021-08-24,
azerbaijan state agricultural academy,azerbaijan state agricultural academy,azerbaijan state agricultural academy,adau.edu.az,Azerbaijan,2021-08-24,
azerbaijan state customs committee academy,azerbaijan state customs committee academy,azerbaijan state customs committee academy,ascca.gov.az,Azerbaijan,2021-08-24,
azerbaijan state marine academy,azerbaijan state marine academy,azerbaijan state marine academy,adda.edu.az,Azerbaijan,2021-08-24,
azerbaijan state pedagogic university,azerbaijan state pedagogic university,azerbaijan state pedagogic university,adpu.edu.az,Azerbaijan,2021-08-24,
azerbaijan state university of culture and arts,azerbaijan state university of culture and arts,azerbaijan state university of culture and arts,admiu.edu.az,Azerbaijan,2021-08-24,
azerbaijan state university of economics,azerbaijan state university of economics,azerbaijan state university of economics,unec.edu.az,Azerbaijan,2021-08-24,
azerbaijan state university of oil and industry,azerbaijan state university of oil and industry,azerbaijan state university of oil and industry,asoiu.edu.az,Azerbaijan,2021-08-24,
azerbaijan technical university,azerbaijan technical university,azerbaijan technical university,aztu.edu.az,Azerbaijan,2021-08-24,
azerbaijan toursim institute,azerbaijan toursim institute,azerbaijan toursim institute,tourism.edu.az,Azerbaijan,2021-08-24,
azerbaijan university,azerbaijan university,azerbaijan university,au.edu.az,Azerbaijan,2021-08-24,
azerbaijan university of architecture and construction,azerbaijan university of architecture and construction,azerbaijan university of architecture and construction,azmiu.edu.az,Azerbaijan,2021-08-24,
azerbaijan university of languages,azerbaijan university of languages,azerbaijan university of languages,adu.edu.az,Azerbaijan,2021-08-24,
baku academy of music,baku academy of music,baku academy of music,musicacademy.edu.az,Azerbaijan,2021-08-24,
baku business university,baku business university,baku business university,bbu.edu.az,Azerbaijan,2021-08-24,
baku slavic university,baku slavic university,baku slavic university,bsu-edu.org,Azerbaijan,2021-08-24,
baku state university,baku state university,baku state university,bsu.edu.az,Azerbaijan,2021-08-24,
ganja state university,ganja state university,ganja state university,gdu.edu.az,Azerbaijan,2021-08-24,
khazar university,khazar university,khazar university,khazar.org,Azerbaijan,2021-08-24,
lankaran state university,lankaran state university,lankaran state university,lsu.edu.az,Azerbaijan,2021-08-24,
mingechevir state university,mingechevir state university,mingechevir state university,mdu.edu.az,Azerbaijan,2021-08-24,
nakhchivan private university,nakhchivan private university,nakhchivan private university,az-npu.org,Azerbaijan,2021-08-24,
nakhchivan state university,nakhchivan state university,nakhchivan state university,ndu.edu.az,Azerbaijan,2021-08-24,
national aviation academy,national aviation academy,national aviation academy,naa.edu.az,Azerbaijan,2021-08-24,
odlar yurdu university,odlar yurdu university,odlar yurdu university,oyu.edu.az,Azerbaijan,2021-08-24,
police academy,police academy,police academy,pa.edu.az,Azerbaijan,2021-08-24,
qafqaz university,qafqaz university,qafqaz university,qu.edu.az,Azerbaijan,2021-08-24,
sumgait state university,sumgait state university,sumgait state university,sdu.edu.az,Azerbaijan,2021-08-24,
the academy of public administration,the academy of public administration,the academy of public administration,dia.edu.az,Azerbaijan,2021-08-24,
western university azerbaijan,western university azerbaijan,western university azerbaijan,wu.edu.az,Azerbaijan,2021-08-24,
the college of the bahamas,the college of the bahamas,the college of the bahamas,cob.edu.bs,Bahamas,2021-08-24,
al ahlia university,al ahlia university,al ahlia university,ahliauniversity.org,Bahrain,2021-08-24,
ama international university,ama international university,ama international university,amaiu.edu.bh,Bahrain,2021-08-24,
applied science university,applied science university,applied science university,asu.edu.bh,Bahrain,2021-08-24,
arab open university bahrain,arab open university bahrain,arab open university bahrain,aou.org.bh,Bahrain,2021-08-24,
arabian gulf university,arabian gulf university,arabian gulf university,agu.edu.bh,Bahrain,2021-08-24,
gulf university college,gulf university college,gulf university college,gulfuniversity.net,Bahrain,2021-08-24,
new york instiute of technology,new york instiute of technology,new york instiute of technology,nyit.edu.bh,Bahrain,2021-08-24,
rcsi medical university of bahrain,rcsi medical university of bahrain,rcsi-medical university of bahrain,rcsi-mub.com,Bahrain,2021-08-24,
the kingdom university,the kingdom university,the kingdom university,ku.edu.bh,Bahrain,2021-08-24,
university college bahrain,university college bahrain,university college bahrain,ucb.edu.bh,Bahrain,2021-08-24,
university of bahrain,university of bahrain,university of bahrain,uob.edu.bh,Bahrain,2021-08-24,
ahsanullah university of science and technology,ahsanullah university of science and technology,ahsanullah university of science and technology,aust.edu,Bangladesh,2021-08-24,
american international university bangladesh,american international university bangladesh,american international university bangladesh,aiub.edu,Bangladesh,2021-08-24,
