academic_terms,original_string,new_string,domains,country,as_of,
marcus oldham college,marcus oldham college,marcus oldham college,marcusoldham.vic.edu.au,Australia,2021-08-24,
monash university|monash,monash university|monash,monash university,monash.edu|monash.edu.au,Australia,2021-08-24,
murdoch university,murdoch university,murdoch university,murdoch.edu.au,Australia,2021-08-24,
queensland university of technology,queensland university of technology,queensland university of technology,qut.edu.au,Australia,2021-08-24,
royal melbourne institute of technology|rmit university,royal melbourne institute of technology|rmit university,royal melbourne institute of technology,rmit.edu.au,Australia,2021-08-24,
southern cross university,southern cross university,southern cross university,scu.edu.au,Australia,2021-08-24,
swinburne university of technology,swinburne university of technology,swinburne university of technology,swin.edu.au,Australia,2021-08-24,
torrens university australia,torrens university australia,torrens university australia,torrens.edu.au|tua.edu.au,Australia,2021-08-24,
university of adelaide,university of adelaide,university of adelaide,adelaide.edu.au,Australia,2021-08-24,
university of canberra,university of canberra,university of canberra,canberra.edu.au,Australia,2021-08-24,
university of melbourne,university of melbourne,university of melbourne,unimelb.edu.au|student.unimelb.edu.au,Australia,2021-08-24,
university of new england,university of new england(?! [a-z]),university of new england,une.edu.au,Australia,2021-08-24,
university of new south wales,university of new south wales,university of new south wales,unsw.edu.au,Australia,2021-08-24,
university of south wales,university of south wales,university of south wales,southwales.edu.au,Australia,2021-08-24,
university of newcastle,university of newcastle,university of newcastle,newcastle.edu.au,Australia,2021-08-24,
university of notre dame australia,university of notre dame australia,university of notre dame australia,nd.edu.au,Australia,2021-08-24,
university of queensland,university of queensland,university of queensland,uq.edu.au,Australia,2021-08-24,
university of south australia,university of south australia,university of south australia,unisa.edu.au,Australia,2021-08-24,
university of southern queensland,university of southern queensland,university of southern queensland,usq.edu.au,Australia,2021-08-24,
university of sydney,university of sydney,university of sydney,sydney.edu.au,Australia,2021-08-24,
university of tasmania,university of tasmania,university of tasmania,utas.edu.au,Australia,2021-08-24,
university of technology sydney,university of technology sydney,university of technology sydney,uts.edu.au,Australia,2021-08-24,
university of the sunshine coast,university of the sunshine coast,university of the sunshine coast,usc.edu.au,Australia,2021-08-24,
university of western australia,university of western australia,university of western australia,uwa.edu.au,Australia,2021-08-24,
university of western sydney,university of western sydney,university of western sydney,uws.edu.au,Australia,2021-08-24,
university of wollongong,university of wollongong,university of wollongong,uow.edu.au,Australia,2021-08-24,
victoria university,victoria university(?! [a-z]),victoria university,vu.edu.au,Australia,2021-08-24,
akademie der bildenden künste wien,akademie der bildenden künste wien,akademie der bildenden künste wien,akbild.ac.at,Austria,2021-08-24,
donau universität krems,donau universität krems,donau-universität krems,donau-uni.ac.at,Austria,2021-08-24,
fachhochschule burgenland,fachhochschule burgenland,fachhochschule burgenland,fh-burgenland.at,Austria,2021-08-24,
fachhochschule für bank und finanzwirtschaft,fachhochschule für bank und finanzwirtschaft,fachhochschule für bank und finanzwirtschaft,fh-vie.ac.at,Austria,2021-08-24,
fachhochschule joanneum,fachhochschule joanneum,fachhochschule joanneum,fh-joanneum.at,Austria,2021-08-24,
fachhochschule kärnten,fachhochschule kärnten,fachhochschule kärnten,fh-kaernten.ac.at,Austria,2021-08-24,
fachhochschule krems,fachhochschule krems,fachhochschule krems,fh-krems.ac.at,Austria,2021-08-24,
fachhochschule kufstein tirol,fachhochschule kufstein tirol,fachhochschule kufstein (tirol),fh-kufstein.ac.at,Austria,2021-08-24,
fachhochschule salzburg,fachhochschule salzburg,fachhochschule salzburg,fh-sbg.ac.at,Austria,2021-08-24,
fachhochschule st pölten,fachhochschule st pölten,fachhochschule st pölten,fh-stpoelten.ac.at,Austria,2021-08-24,
fachhochschule vorarlberg,fachhochschule vorarlberg,fachhochschule vorarlberg,fhv.at,Austria,2021-08-24,
fachhochschule wiener neustadt,fachhochschule wiener neustadt,fachhochschule wiener neustadt,fhwn.ac.at,Austria,2021-08-24,
